sku_name,others
不二家棒棒糖奶茶味+巧克力牛奶味袋装116克,其他_糖果
春日井硬糖花生味袋装142克,其他_糖果
可康咸柠檬糖袋装500克,其他_糖果
理本水果汽水硬糖袋装144克,其他_糖果
明茨脆皮夹心薄荷糖袋装112克,其他_糖果
明茨软糖薄荷味袋装115克,其他_糖果
明茨软糖葡萄薄荷味袋装115克,其他_糖果
明茨软糖特浓薄荷味袋装115克,其他_糖果
明茨软糖樱桃薄荷味袋装115克,其他_糖果
RIO无糖薄荷糖百香果味盒装14克,其他_糖果
RIO无糖薄荷糖红葡萄味盒装14克,其他_糖果
RIO无糖薄荷糖荔枝味盒装14克,其他_糖果
RIO无糖薄荷糖茉莉香桃味盒装14克,其他_糖果
好丽友木糖醇3+无糖口香糖草莓味+青提味+香瓜味瓶装101克,其他_糖果
好丽友木糖醇3+无糖口香糖超檬味+苹果味+蜜桃味瓶装101克,其他_糖果
好丽友木糖醇3+无糖口香糖葡萄味+青提味瓶装56克,其他_糖果
好丽友木糖醇3+无糖口香糖葡萄味+西柚味+菠萝味瓶装101克,其他_糖果
京都念慈菴金桔柠檬糖罐装60克,其他_糖果
京都念慈菴柠檬草薄荷糖罐装60克,其他_糖果
京都念慈菴枇杷糖罐装60克,其他_糖果
绿箭薄荷糖充气糖果草莓薄荷味瓶装80克,其他_糖果
绿箭薄荷糖充气糖果留兰香薄荷味瓶装80克,其他_糖果
森永多乐福HelloKitty综合水果味硬糖罐装100克,其他_糖果
旺仔QQ糖凝胶糖果菠萝味袋装20克,其他_糖果
旺仔QQ糖凝胶糖果青苹果味袋装20克,其他_糖果
旺仔QQ糖凝胶糖果香橙味袋装20克,其他_糖果
徐福记熊博士口嚼糖鲜奶味袋装52克,其他_糖果
益达木糖醇无糖口香糖香橙薄荷味瓶装56克,其他_糖果
益达木糖醇无糖口香糖香浓蜜瓜味瓶装56克,其他_糖果
悠哈果汁软糖白葡萄味袋装52克,其他_糖果
阿尔卑斯混合口味硬棒棒糖袋装200克,其他_糖果
阿尔卑斯双享棒倍浓巧克力味+奶香曲奇味袋装144克,其他_糖果
阿尔卑斯双享棒巧克力香草味+香橙蜜瓜奶味+草莓香蕉奶味袋装144克,其他_糖果
大白兔红豆奶糖袋装227克,其他_糖果
大白兔奶糖袋装454克,其他_糖果
大白兔奶糖瓶装258克,其他_糖果
大白兔奶油话梅糖袋装168克,其他_糖果
大白兔清凉奶糖袋装227克,其他_糖果
临_粉色糖果透明塑料瓶装,其他_糖果
临_黄色糖果透明塑料瓶装,其他_糖果
上好佳八宝果糖袋装96克,其他_糖果
旺仔QQ糖凝胶糖果荔枝味袋装20克,其他_糖果
旺仔QQ糖凝胶糖果水蜜桃味袋装20克,其他_糖果
徐福记浓99醇浓鲜奶糖原味袋装90克,其他_糖果
徐福记熊博士彩豆糖水果口味袋装60克,其他_糖果
徐福记熊博士橡皮糖桔子味袋装60克,其他_糖果
徐福记熊博士橡皮糖综合水果味袋装60克,其他_糖果
徐福记自然予花生糖白芝麻味袋装110克,其他_糖果
悠哈8.2特浓牛奶糖袋装120克,其他_糖果
悠哈8.2特浓盐牛奶糖袋装108克,其他_糖果
曼妥思脆皮软心珠薄荷味盒装37克,其他_糖果
曼妥思脆皮软心珠可乐味盒装37克,其他_糖果
曼妥思脆皮软心珠霓虹味盒装37克,其他_糖果
曼妥思脆皮软心珠葡萄味盒装37克,其他_糖果
曼妥思脆皮软心珠水果味盒装37克,其他_糖果
曼妥思脆皮软心珠苏打嗨味盒装37克,其他_糖果
曼妥思脆皮软心珠特强薄荷味盒装37克,其他_糖果
海亿醇然心动留兰香薄荷味糖盒装50克,其他_糖果
海亿醇然心动玫瑰荔枝薄荷味糖盒装50克,其他_糖果
海亿醇然心动茉莉青提薄荷味糖盒装50克,其他_糖果
海亿醇然心动青柠薄荷味糖盒装50克,其他_糖果
阿曼达小马宝莉跳跳糖草莓味袋装30克,其他_糖果
阿曼达小马宝莉跳跳糖可乐味袋装30克,其他_糖果
阿曼达小马宝莉跳跳糖苹果味袋装30克,其他_糖果
阿曼达小马宝莉跳跳糖葡萄味袋装30克,其他_糖果
不二家棒棒糖棒棒糖草莓牛奶味+芒果牛奶味袋装46克,其他_糖果
不二家棒棒糖可乐味+柠檬味+哈密瓜味+香橙味袋装125克,其他_糖果
大白兔100牛奶糖黑糖冰激凌味袋装107克,其他_糖果
大白兔奶糖袋装227克,其他_糖果
大好大瓜子焦糖味袋装105克,其他_糖果
都市牧场牛初乳牛奶片原味袋装72.6克,其他_糖果
都市牧场益生元牛奶片蓝莓味袋装72.6克,其他_糖果
黑士梅菓子黑糖话梅味袋装118克,其他_糖果
黑士梅菓子元气话梅味袋装118克,其他_糖果
华佳威瑞士糖混合水果味软糖袋装160克,其他_糖果
华佳威椰子味糖软糖袋装160克,其他_糖果
华味亨小哼哼冰糖杨梅袋装90克,其他_糖果
梁丰麦丽素卡布奇诺袋装65克,其他_糖果
梁丰麦丽素青青抹茶袋装65克,其他_糖果
梁丰麦丽素原味酸奶袋装65克,其他_糖果
梁丰麦丽素芝士奶酪袋装65克,其他_糖果
绿箭弹立方口香糖酷酸草莓味瓶装40克,其他_糖果
绿箭弹立方口香糖原味薄荷味瓶装40克,其他_糖果
绿箭口香糖瓶装薄荷味瓶装64克,其他_糖果
曼妥思清劲无糖口香糖清新薄荷味瓶装56克,其他_糖果
悠哈蜂蜜西柚润喉糖新滋润型袋装103克,其他_糖果
悠哈味觉糖什锦软糖柑橘味袋装90克,其他_糖果
悠哈味觉糖什锦软糖水果味袋装90克,其他_糖果
悠哈味觉糖什锦软糖碳酸味袋装90克,其他_糖果
诺贝尔野部软糖碳酸味袋装45克,其他_糖果
西沙明珠金小草草本固体饮料柠檬味2.8克盒装7袋,其他_糖果
西沙明珠金小草草本固体饮料原味2.8克盒装7袋,其他_糖果
西沙明珠金小草草本含化颗粒爽喉0.7克盒装3袋,其他_糖果
健达奇趣可可球及牛奶可可酱糖果盒装60克,其他_糖果
M&M'S红色豆人棒瓶装13克,其他_糖果
益达木糖醇无糖口香糖清爽西瓜味瓶装56克,其他_糖果
不二家棒棒糖可乐+柠檬苏打+哈密瓜苏打+香橙苏打味袋装50克,其他_糖果
不二家棒棒糖香醇牛奶+乳酸牛奶味袋装46克,其他_糖果
海亿醇然心动海盐百香果薄荷味糖盒装50克,其他_糖果
徐福记熊博士橡皮糖混合莓果味袋装60克,其他_糖果
徐福记熊博士橡皮糖热带水果味袋装60克,其他_糖果
悠哈果汁软糖桃子味袋装52克,其他_糖果
春光传统椰子糖特浓袋装250克,其他_糖果
春光特制椰子糖袋装228克,其他_糖果
旺仔牛奶糖原味袋装42克,其他_糖果
旺仔牛奶糖草莓味袋装42克,其他_糖果
宏源陈皮糖袋装355克,其他_糖果
宝奴咪酸砂彩虫橡皮糖袋装150克,其他_糖果
宝奴咪酸桃心橡皮糖袋装150克,其他_糖果
旺仔QQ可乐软糖袋装23克,其他_糖果
费罗伦双子座四角糖盒装250克,其他_糖果
费罗伦狮子座蜂蜜珍珠糖盒装240克,其他_糖果
费罗伦天秤座桔子柠檬糖盒装200克,其他_糖果
旺仔牛奶糖原味袋装62克,其他_糖果
旺仔牛奶糖巧克力夹心味袋装42克,其他_糖果
宝奴咪石头糖巧克力味袋装70克,其他_糖果
宝奴咪石头糖酸奶味袋装70克,其他_糖果
嘉云硬质糖果混合水果味盒装200克,其他_糖果
费罗伦天秤座水果沙拉糖盒装230克,其他_糖果
阿尔卑斯混合口味奶糖棒棒糖20支袋装120克,其他_糖果
阿尔卑斯混合口味硬糖棒棒糖20支袋装120克,其他_糖果
农心辛拉面香菇牛肉面盒装114克,其他_方便面
农心辣白菜正宗韩国汤味拉面盒装117克,其他_方便面
农心石锅牛肉拉面盒装117克,其他_方便面
统一酱拌面贵州豆豉辣酱风味盒装115克,其他_方便面
统一酱拌面老坛酸菜牛肉风味盒装115克,其他_方便面
统一酱拌面XO酱海鲜风味盒装115克,其他_方便面
统一老坛酸菜牛肉面香辣味盒装120克,其他_方便面
统一浓汤海鲜面盒装101克,其他_方便面
统一红烧牛肉面盒装105克,其他_方便面
统一香辣牛肉面盒装107克,其他_方便面
统一精炖番茄牛肉面盒装108克,其他_方便面
统一老坛泡椒牛肉面盒装105克,其他_方便面
统一老坛酸豆角排骨面盒装115克,其他_方便面
统一来一桶卤肉面卤香牛肉面盒装113克,其他_方便面
统一藤娇藤椒牛肉面盒装105克,其他_方便面
公仔碗仔面海鲜味盒装34克,其他_方便面
公仔碗仔面红烧牛肉味盒装41克,其他_方便面
